,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
504,Construction Site Supervisor,ESPIRIT BUILDING & ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=9adc23129e071587&fccid=99f76c20bc4bc877&vjs=3,Posted7 days ago,"$3,000 - $4,000 a month","Mobilizing of Equipment and Tools for project.
Plan and preparation of materials.
Plan and scheduling of Manpower.",,,1,0,1,1,0
505,Prime Mover Driver @ PSA Pasir Panjang / Training Provided,Miracles Partners Pte Ltd,sg.indeed.com/company/Miracles-Partners-Pte-Ltd/jobs/Prime-Mover-Driver-Psa-Pasir-Panjang-65b10138da0c7c7b?fccid=8ea7c05618687bb2&vjs=3,EmployerActive 5 days ago,"$3,300 - $4,000 a month","Operate a cargo container transporting machinery called “Prime Mover”.
Perform basic equipment checks i.e. scratches or dents on vehicle.",,,0,0,0,0,0
506,Maintenance Agent/Technician,SOFITEL,sg.indeed.com/rc/clk?jk=36128a9a6af6c741&fccid=e52a8045d312f049&vjs=3,PostedToday,,"Anda melakukan tugas yang sangat beragam untuk menginstal, memecahkan masalah, memperbaiki dan memelihara fasilitas dan peralatan properti untuk memastikan…",,,1,0,1,1,1
507,Service Crew,ASANOYA TC PTE. LTD.,sg.indeed.com/rc/clk?jk=fd827441c3a3459e&fccid=ce7e6cc81b69b070&vjs=3,Posted7 days ago,"$1,800 - $2,500 a month","To greet customers and provide good customer service.
To have good product knowledge (training provided).
To ensure overall cleanliness of the shop at all times…",,,0,0,0,0,0
508,Airline Customer Service / 5 days / East,Transcendent Business Services Pte Ltd,sg.indeed.com/company/Transcendent-Business-Services-Pte-Ltd/jobs/Airline-Customer-Service-0535bf86bfa81913?fccid=21b723c51ecdf6cc&vjs=3,EmployerActive 4 days ago,"$3,000 a month","Working hours- 5 days a week/ 44hrs per week/ rotating shift.
In-charge of handling the ticketing, reservation, and enquiries through the phone for an Airlines…",,,0,0,0,0,0
509,Customer Service Executive (Call Centre),ACEXCELLENT CONSULTING PTE. LTD.,sg.indeed.com/rc/clk?jk=b8807fac492eb146&fccid=7e873dd646c4f130&vjs=3,Posted8 days ago,"$2,000 - $3,300 a month","Handle incoming and outgoing calls/ emails to customers.
Process customers' orders, checking details.
Follow up on orders, deliveries and contact suppliers to…",,,1,0,1,1,1
510,SERVICE ENGINEER,BIOMED DIAGNOSTICS PTE LTD,sg.indeed.com/rc/clk?jk=58661597d30bfb30&fccid=5090e9e4b33bbe72&vjs=3,Posted3 days ago,"$3,000 - $4,500 a month","The main aim is to provide operational efficiency with the goal of attaining excellent customer service.
To ensure that all customers are provided with high…",,,0,0,0,0,0
511,SAFETY COORDINATOR,NAM LEE PRESSED METAL PTE. LTD.,sg.indeed.com/rc/clk?jk=4bdd8ac356d2db5b&fccid=5503e2e3003faf66&vjs=3,Posted3 days ago,"$2,800 - $3,900 a month","Able to start work in short notice.
Implements, maintain and coordinate health and safety matters on work sites.
NAM LEE PRESSED METAL PTE.",,,0,0,0,0,0
512,Construction worker,LANCO CONSTRUCTION & ENGINEERING PTE LTD,sg.indeed.com/rc/clk?jk=4bfddff322dc05f6&fccid=b57a8b9d9d67652d&vjs=3,Posted18 days ago,"$1,500 - $3,200 a month","Must be fit and strong for labour works.
Optional: Able to operate forklift/excavator.
5.5 Day work week with annual leave up to 14 days.",,,0,0,1,1,0
513,Logistics Coordinator,Chanel,sg.indeed.com/rc/clk?jk=cfb39901eb6eeec0&fccid=20f48cf7726b0510&vjs=3,Posted30+ days ago,,"Perform general duties such as incoming shipments, order processing of FA, FBP, WFJ stock allocation orders, Chanel FBP boutique consignment stock and SPM,…",,,1,0,1,1,1
514,Admin Officer,FIRMUS PTE. LTD.,sg.indeed.com/rc/clk?jk=de8cb160264a3173&fccid=a7a3f6687999fc16&vjs=3,Posted2 days ago,"$2,000 - $4,000 a month","Ensuring the confidentiality and security of files and filing systems.
Manage office supplies stock and place orders.
Maintain and update company databases.",,,0,1,1,1,1
515,Client Experience Representative,Standard Chartered,sg.indeed.com/rc/clk?jk=faff5838be95f6e3&fccid=5249cd8e17163cb5&vjs=3,Posted4 days ago,,"1 year of experience in customer service role with banking industry.
Assist clients on various transactions over the counter (cash*, cheques, drafts, transfers,…",,,1,0,1,1,1
516,Customer Service Officer,TransitLink,sg.indeed.com/rc/clk?jk=03bb94e9c0e4b965&fccid=7d6ffe420eedb6f7&vjs=3,Posted27 days ago,,Sale of CEPAS cards and allied products at ticket or concession card replacement offices located at various MRT stations or bus interchanges.,,,1,0,1,1,0
517,Driver / Warehouse assistance,PACKMAN SG PTE. LTD.,sg.indeed.com/rc/clk?jk=b5dd3195379753db&fccid=f049a24b2ea98afe&vjs=3,Posted2 days ago,"$2,100 - $2,500 a month","We are looking for a responsible Driver to coordinate in receiving and sending goods to-and-fro the warehouse and to customers.
Annual leave and Birthday off.",,,0,0,0,0,0
518,Part Time Service Crew,Birdie Num Num Gastrobar,sg.indeed.com/company/Birdie-Num-Num-gastrobar/jobs/Service-Crew-65b107cf8e6a3add?fccid=4e175880f567d0d0&vjs=3,EmployerActive 2 days ago,$10 - $14 an hour,"Part-time hours: 21 per week.
Job Types: Part-time, Temporary, Student job.",,,0,0,0,0,0
519,Dental Assistant / Front Desk Receptionist,TWIN CITY ENDODONTICS (TANGLIN) PTE. LTD.,sg.indeed.com/rc/clk?jk=7f1f650b3bffd0a2&fccid=dd616958bd9ddc12&vjs=3,Posted4 days ago,"$2,000 - $2,600 a month","Experience and non-experience candidates are welcome!
Assist dentist by handling supplies and instruments as requested.",,,1,0,1,1,0
520,Receptionist at Children's Gym,My Gym @ Great World,sg.indeed.com/company/Jump-Stakes-Advisory/jobs/Receptionist-At-Children-Gym-3bbb1a8e7146cd54?fccid=0c65369856b8ccad&vjs=3,Employer30+ days ago,"$2,000 - $2,500 a month","Enthusiastic in to be part of the children's development.
You're looking for an easy job that you can slack off at.
Willing to work one weekend day.",,,1,0,1,1,1
521,Production Crew,Tam Kah Seafood,sg.indeed.com/rc/clk?jk=2d16b207a9df238e&fccid=74cfd2e04013accd&vjs=3,Posted30+ days ago,$10 an hour,No experience welcome (training provided).,,,0,0,1,1,0
522,Customer Service Officer (Office Hours/ Fresh Graduates Welc...,JJ Consulting Services,sg.indeed.com/company/JJ-Consulting-Services/jobs/Customer-Service-Officer-0b57091ef86eb48a?fccid=eb983c13696b8691&vjs=3,PostedToday,"$1,753 - $4,662 a month","Customer service: 1 year (Preferred).
​Our Client is an established company in Singapore, who is seeking to recruit Customer Service Officers.",,,0,0,1,1,0
523,Health Care Assistant,ANG MO KIO - THYE HUA KWAN HOSPITAL LTD.,sg.indeed.com/rc/clk?jk=17f673e7f5580850&fccid=cc8f79ffbcbdb0d3&vjs=3,Posted8 days ago,"$1,800 - $2,000 a month","Minimum completed Secondary education or equivalent.
Performs basic patient care (e.g. maintenance of patient's general hygiene, serving food feeding patients…",,,1,1,1,1,1
524,Administrative Assistant,Resorts World at Sentosa,sg.indeed.com/rc/clk?jk=1c0ae9fde7019023&fccid=d173deb5b709416c&vjs=3,Posted30+ days ago,,"Eg. Application of RWS ID pass request, checking of exemption from levy payment, lost and found passes etc.
Assigning of door access and encoding of RWS ID pass…",,,1,1,1,1,1
525,Design Coordinator,WSP USA,sg.indeed.com/rc/clk?jk=933d0d307eb44606&fccid=125e77713a321cdc&vjs=3,Posted24 days ago,,"To attend weekly progress meetings (minimised, not for the entire meeting duration).
To attend weekly design and technical meetings.",,,1,1,1,1,1
526,Accounts Officer,HOYER GLOBAL (SINGAPORE) PTE. LTD.,sg.indeed.com/rc/clk?jk=12b67c2e20bcca53&fccid=728d43378ff819cd&vjs=3,Posted9 days ago,"$3,500 - $4,200 a month","Processing daily cheque payments and routine transfers via banking interface.
Responsible for either Accounts Payable or Receivable tasks.",,,1,1,1,1,1
527,Quality Control Inspector,AME International Pte Ltd,sg.indeed.com/rc/clk?jk=cc330506da5bb8d1&fccid=c625107db694ee79&vjs=3,Posted30+ days ago,,"Perform all Incoming Material Inspection, In-Process Inspection and Final Inspection measurement.
Perform all Incoming, In-process and final inspection…",,,0,0,1,0,0
528,Production Planner,TEMPSERV PTE. LTD.,sg.indeed.com/rc/clk?jk=f17e4a93b315eac9&fccid=9b5d24d6b512f96f&vjs=3,Posted9 days ago,"$3,500 - $5,000 a month","1 year of working experience in the electronics manufacturing industry.
Interested applicants, please forward a detailed resume in MS Word format with a recent…",,,0,0,1,1,0
529,‍ Maintenance Worker,Far East Packaging Industrial Pte Ltd,sg.indeed.com/rc/clk?jk=8116a0547c6c57a9&fccid=37ed43bf65879876&vjs=3,Posted15 days ago,"$2,800 a month","Sat O/T 8.00am to 3.30pm (6 hrs and 45 mins).
Sun O/T 8.00am to 3.30pm (6 hrs and 45 mins) - (Perform when required).
Normal Day O/T 5.30pm to 7.30pm (2 hrs).",,,0,0,0,0,0
530,Phone Operator (Home-Based),MW GLOBAL PTE. LTD.,sg.indeed.com/company/MW-GLOBAL-PTE.-LTD./jobs/Phone-Operator-eff0ddf6cf11eea4?fccid=e4e75058eb69d037&vjs=3,EmployerActive 9 days ago,$5 - $8 an hour,"Pay: $5.00 - $8.00 per hour.
Able to pick-up calls and handle situations quickly and accurately with quality customer service level.",,,1,0,1,1,0
531,Sales Executive,LONG CHANG HERBAL (S) PTE. LTD.,sg.indeed.com/rc/clk?jk=022875803430706d&fccid=753174f28d2c9ed7&vjs=3,Posted8 days ago,"$2,500 - $4,000 a month","5 days work with vehicle provided and driven home.
Daily workscope include taking order, promoting new products, collection of outstanding invoices and sourcing…",,,1,1,1,1,1
532,Storekeeper,SHALOM INTERNATIONAL MOVERS PTE. LTD.,sg.indeed.com/rc/clk?jk=2c8101f310302dbf&fccid=0b787472ae71445b&vjs=3,Posted7 days ago,"$2,000 - $2,500 a month","At least 1-year of experience working in warehouse environment is required.
To perform work that involves receiving, inspecting, shelving, picking, packing,…",,,1,1,1,1,1
533,Shipping Officer,RICHFIELD MARINE AGENCIES (S) PTE LTD,sg.indeed.com/rc/clk?jk=e926d32a78a0522a&fccid=f3f9d0cbafac08d6&vjs=3,Posted1 day ago,"$2,200 - $2,600 a month","Basic skills set such as strong communication skills in reading, writing and listening as well as high proficient in spoken English is essential.",,,0,0,1,1,1
534,Construction Worker,WYL CONSTRUCTION,sg.indeed.com/rc/clk?jk=66b20c485fe0c18f&fccid=e360112d6bd31774&vjs=3,Posted4 days ago,"$2,000 - $4,000 a month"," space and even the tiles by using tools such as spirit levels, squares and plumb-lines.
 work out the quantity of materials needed for the job by taking…",,,0,0,1,1,0
535,Counsellor,BRAHM CENTRE LTD.,sg.indeed.com/rc/clk?jk=ff9b7de42b01666d&fccid=193b1d3f638d8c1d&vjs=3,Posted4 days ago,"$3,000 - $4,000 a month","To assess client needs and devise a customised counselling treatment plan.
To provide timely counselling service and psychoeducation to clients.",,,0,0,0,0,0
536,Admin Support,SME MARKETING SOLUTIONS,sg.indeed.com/company/SME-MARKETING-SOLUTIONS/jobs/Admin-Support-64cf8184b1856192?fccid=e7f56cdc83b0b393&vjs=3,EmployerActive 1 day ago,"$2,500 - $3,500 a month","> Prepare daily billing reports.
> Prepare & tally sales commission.
> Excellent communication and presentation skills.
> Excellent in Excel & Google Sheet.",,,0,0,0,0,0
537,Warehouse Assistant,Wine Bond Pte Ltd,sg.indeed.com/company/Wine-Bond-Pte-Ltd/jobs/Warehouse-Assistant-3616a4f7ee010e86?fccid=7470e1886c25df01&vjs=3,EmployerActive 2 days ago,"$1,600 - $2,000 a month","Warehouse experience: 1 year (Required).
Receiving, verifying and checking inbound stock as per permit or relevant document.
Job Types: Full-time, Permanent.",,,1,1,1,1,1
538,Customer Service Executive,NIPPON EXPRESS (SINGAPORE) PTE LTD,sg.indeed.com/rc/clk?jk=5957c8e3233f94c1&fccid=05742c78d2e242b1&vjs=3,Posted7 days ago,"$3,000 - $4,000 a month","Survey of moving and make quotations.
Prepare for export/import documentation and ensure they are in order.
Reception of telephone and e-mail to handle client…",,,1,0,1,1,1
539,Warehouse Assistant,3M,sg.indeed.com/rc/clk?jk=88d02a61607509de&fccid=595d42593839d3a2&vjs=3,Posted30+ days ago,,"Support the day-to-day warehouse operations.
Assist and perform load and unload of containers.
Perform goods receiving function and ensure accuracy in goods…",,,1,1,1,1,1
540,IKEA Tampines - Cashier (Part-Time),IKANO Southeast Asia (IKEA Tampines),sg.indeed.com/company/IKANO-Southeast-Asia-(IKEA-Tampines)/jobs/Ikea-3dc0513864785ede?fccid=fcd8bbae43e7f4bb&vjs=3,EmployerActive 6 days ago,,"Part-time hours: 15 per week.
Part-time hours: 15 per week.
You must be able to work at least 15 hours a week (3x 5 Hours Shift/Week).",,,0,0,0,0,0
541,Office Manager,Forrester Research,sg.indeed.com/rc/clk?jk=a58094101e8465d3&fccid=058abecc263f56ba&vjs=3,Posted18 days ago,,"At least one year of post-education experience, ideally facilities-related.
“A” level education or an equivalent experience.",,,0,1,1,1,1
542,Customer Service Officer,HYPERSCAL SOLUTIONS PTE. LTD.,sg.indeed.com/rc/clk?jk=3f094bad8567f490&fccid=dd616958bd9ddc12&vjs=3,Posted4 days ago,"$2,000 - $2,900 a month","As a Customer Service Officer, you will be ambassador of FairPrice Group to deliver good service to customers who need assistance with their purchases.",,,1,0,1,1,0
543,Food and Beverage Assistant,EGA Wellness,sg.indeed.com/company/Ega-wellness/jobs/Food-Beverage-Assistant-34cc465ec955d6cb?fccid=767f47627a16cb72&vjs=3,Posted1 day ago,"$2,000 - $2,500 a month","No experience required, working hours 9am-6pm. chopping fruits and making cold pressed juice is part of job.
Job Types: Full-time, Permanent.",,,1,1,1,1,0
544,Tamil Teacher,GLOBAL INDIAN INTERNATIONAL SCHOOL,sg.indeed.com/company/GLOBAL-INDIAN-INTERNATIONAL-SCHOOL.ORG/jobs/Tamil-Teacher-0769a7e95fc99596?fccid=a30e5c297480befa&vjs=3,EmployerActive 2 days ago,"$2,000 - $2,200 a month","Fluent English Level: reading, writing, speaking; a professional command of the English language.
Enabling students to communicate in the language they have…",,,0,0,0,0,0
545,Dealer,Marina Bay Sands,sg.indeed.com/rc/clk?jk=eca8a6e37c807f33&fccid=d568938f37a96d47&vjs=3,Posted30 days ago,,"Deal games and provide excellent and friendly service to every guest, to help instill the perception in the minds of all guests and the public, that Sands is an…",,,0,0,0,0,0
546,Management Associate,CRESCO HOLDINGS PTE. LTD.,sg.indeed.com/rc/clk?jk=09adb952c80bf803&fccid=f5774c8940664303&vjs=3,Posted3 days ago,"$3,500 - $6,000 a month","Being fluent in a second language is advantageous.
Degree in Business / Accounts/ Finance related field.
Opportunity to gain exposure and build knowledge in…",,,1,1,1,1,1
547,Administrative Executive,WAJILAM EXPORTS (SINGAPORE) PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=fbff902b54dbebaf&fccid=dd616958bd9ddc12&vjs=3,Posted8 days ago,"$2,500 - $3,500 a month","§ Prepare and send out bank reports first thing in the morning.
§ Prepare documents for the import leg of all shipments.
§ A good command of English.",,,1,1,1,1,1
548,Administrative Assistant,POLYWARE PTE. LTD.,sg.indeed.com/rc/clk?jk=ec79f8b5c187e525&fccid=fd905e46315a3898&vjs=3,Posted4 days ago,"$2,000 - $2,500 a month","Minimum 1 year of experience in administrative sector.
Experience as an office administrator or similar roles.
Working hours are from 9am to 6pm.",,,1,1,1,1,1
549,Voice Recording Specialist,Ambitious Enterprises: Level Up,sg.indeed.com/rc/clk?jk=c0e0a9251e506639&fccid=dd616958bd9ddc12&vjs=3,Posted23 days ago,"$800 - $1,500 a week",If you repeat the same habit every day for 3 months through short bursts of daily activity (1-5 minutes a day) your life will change completely.,,,0,0,0,1,0
550,Laboratory Technician / Trainee,CHEVRON ORONITE PTE LTD,sg.indeed.com/rc/clk?jk=b81ffffdd9339dc1&fccid=9cf8e6c19900b0a8&vjs=3,Posted7 days ago,"$2,000 - $4,000 a month","Handles raw materials, components and finished products samples bottles in sample retention room as per corporate guidelines.",,,0,0,1,0,0
551,Customer Service,MCCOY PTE. LTD.,sg.indeed.com/rc/clk?jk=84d327a6d7ea2506&fccid=687a9bf39d120741&vjs=3,Posted3 days ago,"$2,500 - $4,000 a month","Manage the import, delivery, and export operations.
Track shipments from suppliers and coordinate deliveries and export to customers.",,,0,0,0,1,0
552,Office Helper,RAFFLES EMPLOYMENT PTE. LTD.,sg.indeed.com/rc/clk?jk=b7ec37e61eef5863&fccid=eee7b59c2de6f9ed&vjs=3,Posted8 days ago,"$1,200 - $2,000 a month","Bring migrant worker to meet client and arrange accomodation.
Need to travel (Company will reimburse bus /train fair and Grab bill).",,,1,1,1,1,1
553,Assistant Housekeeper,VILLAGE HOTEL SENTOSA,sg.indeed.com/rc/clk?jk=b431d2f229ab8acb&fccid=c00a8aa882008bef&vjs=3,Posted8 days ago,"$2,500 - $3,000 a month","At least 1 year of supervisory role in hotel housekeeping.
Supervise the duties of room attendants and to ensure that they carry out an orderly housekeeping…",,,1,1,1,1,1
554,Admin Support,ARAS DEVELOPMENT PTE. LTD.,sg.indeed.com/rc/clk?jk=c6bf6a9c27177510&fccid=0cd3926bb7491885&vjs=3,Posted1 day ago,"$2,000 - $2,500 a month","Good level of english proficiency.
Provide administrative support for operations department, HR and Finance department.
Basic MS office knowledge.",,,0,0,0,0,0
555,Warehouse Assistant,ULVAC SINGAPORE PTE LTD,sg.indeed.com/rc/clk?jk=ac65674df81bba95&fccid=f9482ffee13b554b&vjs=3,Posted1 day ago,"$2,200 - $2,800 a month","Preferably with at least 1 year experience in Warehouse operations.
Receive and inspect all incoming stocks and reconcile with purchase orders.",,,1,1,1,1,1
556,Management Trainee,CHUNG HWA FOOD INDUSTRIES PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=3b64c2b9db098d7a&fccid=cd22f224ddccd290&vjs=3,PostedJust posted,"$2,500 - $3,000 a month","Improve current practices in a sustainable manner.
Familiarizing with day-to-day operations (E.g., Stock Taking, Procurement, Order Processing, Last-Mile…",,,1,0,1,1,1
557,Hotel Receiptionist,,sg.indeed.com/rc/clk?jk=e9e1fc8e000cc53d&fccid=dd616958bd9ddc12&vjs=3,PostedToday,"$2,200 - $3,200 a month","Able to work on extra hours.
Able to guide room guest to room.
Able to work during Public Holiday.
Daily report to operation manager and ensure smooth operation…",,,1,0,1,1,1
558,Property Officer,Aljunied Hougang Town Council,sg.indeed.com/rc/clk?jk=4c917a460326ade3&fccid=adeb51afcc390aaa&vjs=3,Posted30+ days ago,,"Carry out enforcement actions related to common property and open space by-laws.
Prepare and maintain proper admin and paper documentation.",,,1,1,1,1,0
559,Customer Service Officer (Online Chat),JJ Consulting Services,sg.indeed.com/company/JJ-Consulting-Services/jobs/Customer-Service-Officer-c33f17795f650686?fccid=eb983c13696b8691&vjs=3,EmployerActive 1 day ago,"$1,368 - $3,889 a month","Excellent communication skills in the English language, both verbal and written, and a second language.
Customer service: 1 year (Preferred).",,,0,0,1,1,0
560,administrator,FANTASTIC 4R PTE. LTD.,sg.indeed.com/rc/clk?jk=9016b61c33dba405&fccid=9dedd21bce9689f0&vjs=3,Posted3 days ago,"$2,700 - $4,500 a month","Be responsible for providing administrative support to our office personnel.
Administrator’s role will include working closely with our leadership team by…",,,1,1,1,1,1
561,Warehouse Assistant,FENGSHENG ELECTRIC CO PTE LTD,sg.indeed.com/rc/clk?jk=37647dfe7e16cd30&fccid=4684d900854efa8f&vjs=3,Posted3 days ago,"$1,600 - $2,200 a month",8am to 12pm on Sat.,,,1,1,1,1,1
562,Office Management,Shopee,sg.indeed.com/rc/clk?jk=b52e5324f09979b3&fccid=0b476c4a7add47fe&vjs=3,Posted29 days ago,,"Oversee the maintenance and daily operations of the office.
Prepares procurement for office supplies and Food & Beverages (F&B).",,,1,0,1,1,1
563,Packer @ Loyang,A & ONE PRECISION ENGINEERING PTE. LTD.,sg.indeed.com/rc/clk?jk=f0f435a98e5b02a0&fccid=92e7a8c32955e92a&vjs=3,Posted4 days ago,"$1,400 - $1,600 a month","To perform packing of goods accordingly to work instructions/shipment requirement.
To perform and control store general admin data entries and ensure proper…",,,1,1,1,1,1
564,Fashion Sales Associate,WEEKEND SUNDRIES PTE. LTD.,sg.indeed.com/rc/clk?jk=3cc9f332035a2458&fccid=599c546d0de2a44e&vjs=3,PostedJust posted,"$2,000 - $2,500 a month","GCE ‘N’ / ‘O’ levels with a pass in English or equivalent.
Min. 1 year sales experience.
The candidate must be keen on sales, customer service and passionate…",,,1,0,1,1,0
565,SAFETY COORDINATOR,MEGABUILDERS & DEVELOPMENT PTE. LTD.,sg.indeed.com/rc/clk?jk=11e01da03afe29c6&fccid=8ab1f39623645626&vjs=3,Posted3 days ago,"$3,000 - $5,000 a month","Oversee and lead the safety team & subcontractors in the implementation of Company's system on site.
Update project team on the latest MOM Safety news.",,,0,0,0,0,0
566,Gardener,VENTURE GREEN PTE. LTD.,sg.indeed.com/rc/clk?jk=7cdd6cf7ab501910&fccid=dd616958bd9ddc12&vjs=3,Posted2 days ago,"$1,600 - $2,000 a month","No experience and qualification required.
Those with relevant WSQ certifications will be an added advantage.",,,0,1,1,1,0
567,Table top cleaner #SGUnitedJobs,RIGHT SERVICE PTE. LTD.,sg.indeed.com/rc/clk?jk=c0cc5dc04e1c35ef&fccid=b97ca4a6d52d5b68&vjs=3,Posted7 days ago,"$1,480 - $1,800 a month","FULL TIME & PART TIME TABLE TOP CLEANER - IMMEDIATE START.
Deliver tray and cutleries from tray return rack to dishwashing room.
5 hours to 8 hours shift.",,,0,0,0,0,0
568,Local Data Entry And Admin Clerk Needed,Singapore,sg.indeed.com/rc/clk?jk=c82bed6f36881916&fccid=3ddb8f68c8f9f588&vjs=3,Posted7 days ago,,"Local Data Entry and Admin Clerk Needed.
Perform data entry task from a paper and/or document image.
Maintain high degree of quality control and validation of…",,,0,0,0,0,0
569,Warehouse Assistant,PS FASTENERS PTE. LTD.,sg.indeed.com/rc/clk?jk=1874f60cb30c3ee8&fccid=a5d0ea05cb5a937e&vjs=3,Posted4 days ago,"$1,700 - $2,100 a month","Receive goods, sort and pack them into the correct location.
Check to make sure the goods are the correct quantity and size.",,,1,1,1,1,1
570,Assistant Factory Manager / Factory Manager,FLEXIBLE PACKAGING PTE. LTD.,sg.indeed.com/rc/clk?jk=3f7cb34d8b5ada17&fccid=139dbd4abd54289e&vjs=3,Posted3 days ago,"$5,000 - $10,000 a month","Increasing production, assets capacity and flexibility while minimizing unnecessary costs and maintaining current quality standards.",,,1,0,1,1,1
571,Office Manager,Private confidence company,sg.indeed.com/company/Royal-Cuisine-Group/jobs/Office-Manager-329c1f2c1b4ea62a?fccid=a170ccf8eaecf2db&vjs=3,EmployerActive 1 day ago,"$2,142 - $8,008 a month","Oversee and support all administrative duties in the office and ensure that office is operating smoothly.
Develop office policies and procedures, and ensure…",,,0,1,1,1,1
572,hand packer,FIVE STARS FOOD CATERING PTE. LTD.,sg.indeed.com/rc/clk?jk=8c3545a0e2797b71&fccid=56cf7824623a634f&vjs=3,Posted7 days ago,"$2,400 - $4,000 a month","Experience in manufacturing or related field is preferred.
Food beverage - Cooked Food (Catering & Restaurant service).
Identify and dispose of defective items.",,,1,1,1,1,1
573,"Administrator, Corporate Housing (no corporate housing exper...",Dwellworks Singapore,sg.indeed.com/rc/clk?jk=2bd7ac8d0c25f83f&fccid=a06b847339896a45&vjs=3,Posted1 day ago,,"Ability to speak and write in English in all business communications; other language skills an advantage.
The Reservations sub-team involves acting as liaison…",,,1,0,1,1,1
574,Personal Assistant to Director,Nervina Next Pte Ltd,sg.indeed.com/company/Nervina-Next-Pte-Ltd/jobs/Personal-Assistant-Director-3616529df91be2f5?fccid=ea3bfce2550847c8&vjs=3,EmployerActive 2 days ago,"$4,500 - $5,800 a month","Booking and arranging travel, transport and accommodation.
Traveling with Director and being a translator of English.
Flexibility of frequent business trip.",,,1,0,1,1,0
575,Appointment Setter,HEROES OF DIGITAL PTE. LTD.,sg.indeed.com/rc/clk?jk=f41a894627b93260&fccid=be0b0af537cf7395&vjs=3,PostedJust posted,"$3,000 - $4,500 a month",Nurture new marketing leads by educating and developing prospects until they are ready to speak with a field sales rep.,,,0,0,1,1,0
576,Customer Service Specialist,PRUDENTIAL ASSURANCE COMPANY SINGAPORE (PTE)...,sg.indeed.com/rc/clk?jk=5bfdb3a1f862e7fb&fccid=b23544e3d4d971c0&vjs=3,Posted3 days ago,"$2,800 - $4,800 a month","In this role, you are required to have a flair for language and writing with the ability to communicate with all stakeholders, be resourceful and able to…",,,1,0,0,1,0
577,Production Technician,Syngenta,sg.indeed.com/rc/clk?jk=aa87087b4911aacb&fccid=212d266bb52619f8&vjs=3,Posted30+ days ago,,"The Production Technician will be under the direction of Production Supervisor and HSE policy, this position will responsible for production activities to…",,,0,0,1,1,1
578,| HOTEL JOB | MEALS PROVIDED,SINGO SERVICES PTE LTD,sg.indeed.com/company/SINGO-SERVICES-PTE-LTD/jobs/Hotel-Meal-Provided-2728c3e5f3406615?fccid=195cca9aacde00f3&vjs=3,Posted1 day ago,"$1,750 - $1,900 a month","❃Ensure proper dishwashing process & maintenance of equipment.
❃Perform cleaning services & garbage disposal.
❃Keep consistent standard of tidiness, cleanliness…",,,0,0,0,0,0
579,Export Customer Service Coordinator,SHIPCO TRANSPORT PTE LTD,sg.indeed.com/rc/clk?jk=5f5ef1a22ec45300&fccid=6423bd546628efa3&vjs=3,Posted8 days ago,"$2,600 - $3,000 a month","Attending to local and overseas customer’s inquiries pertaining to rates and investigating queries and complaints (eg cargo damage, short shipment).",,,1,0,1,1,0
580,Marketing Events Coordinator,ALTRA ORGANISATION,sg.indeed.com/company/Altra-Marketing-Group/jobs/Marketing-Event-Coordinator-9ba087ec8ad95d5d?fccid=50b6513773aba61d&vjs=3,EmployerActive 1 day ago,"$2,800 - $4,200 a month","Possess leadership and sound interpersonal skills to meet client's needs.
Confident to conduct in-person presentations for client brand representation.",,,1,0,1,1,1
581,E-Commerce Executive,Isetan (Singapore) Limited,sg.indeed.com/rc/clk?jk=fc176f57888d2ef9&fccid=4a72f3fc8f795e23&vjs=3,Posted30+ days ago,,"Diploma or Degree in Marketing or relevant field.
Plan, execute and evaluate online sales in e-Commerce platforms.",,,1,0,1,1,1
582,Office Administrator,Kroll,sg.indeed.com/rc/clk?jk=2189c7d1d1e26297&fccid=2991547aff717aed&vjs=3,Posted30+ days ago,,"Check daily/monthly invoices, submit to finance department.
Provide secretarial and administrative support to professional staff.",,,1,1,1,1,1
583,Administrative Assistant,URBAN RENEWABLES PTE. LTD.,sg.indeed.com/rc/clk?jk=a29fc7d0c69bbb0f&fccid=c6cf74cd328d411a&vjs=3,Posted1 day ago,"$2,500 - $3,500 a month","Plan meetings and take detailed minutes.
Write and distribute email, correspondence memos, letters, faxes and forms.
Develop and maintain a filing system.",,,1,1,1,1,1
584,Founder’s Office,Nektar,sg.indeed.com/rc/clk?jk=a25e9a3fd47c9163&fccid=2f3c68225a7a644b&vjs=3,Posted8 days ago,,This data might produce pretty graphs on managers’ reports but it hardly ever helps the salesperson in the field move their deals forward.,,,0,0,0,0,0
585,Construction Project Coordinator,Lian Huah Engineering Pte Ltd,sg.indeed.com/company/Lian-Huah-Engineering-Pte-Ltd/jobs/Construction-Project-Coordinator-67160a2b63472bbe?fccid=ba4d926927d1c81f&vjs=3,EmployerActive 1 day ago,"$3,526 - $9,952 a month","Relevant experience in construction and turnkey projects.
Able to use MS office, MS project & Autocad.
Job Types: Full-time, Part-time.",,,1,0,1,1,1
